time	V(cap)	V(source)
2.866333035675392e-04	-1.131866e+00	-7.440094e+00
2.878888839246821e-04	-1.206313e+00	-6.897773e+00
2.891444642818249e-04	-1.272974e+00	-6.311122e+00
2.904000446389678e-04	-1.331850e+00	-5.680141e+00
2.916556249961106e-04	-1.382939e+00	-5.004829e+00
2.923531696389678e-04	-1.406859e+00	-4.618882e+00
2.930507142818249e-04	-1.427832e+00	-4.225989e+00
2.937482589246821e-04	-1.445857e+00	-3.826151e+00
2.944458035675392e-04	-1.460934e+00	-3.419368e+00
2.951433482103963e-04	-1.473065e+00	-3.005640e+00
2.958408928532535e-04	-1.482247e+00	-2.584967e+00
2.965384374961106e-04	-1.488483e+00	-2.157349e+00
2.968872098175392e-04	-1.490438e+00	-1.942661e+00
2.972359821389678e-04	-1.491638e+00	-1.727300e+00
2.975847544603963e-04	-1.492083e+00	-1.511265e+00
2.979335267818249e-04	-1.491773e+00	-1.294558e+00
2.982822991032535e-04	-1.490709e+00	-1.077176e+00
2.986310714246821e-04	-1.488889e+00	-8.591216e-01
2.989798437461106e-04	-1.486314e+00	-6.403935e-01
2.999564062461106e-04	-1.475112e+00	-2.738428e-02
3.003749330318249e-04	-1.468500e+00	2.359530e-01
3.007934598175392e-04	-1.460834e+00	4.986743e-01
3.012119866032535e-04	-1.452114e+00	7.607795e-01
3.016305133889678e-04	-1.442339e+00	1.022269e+00
3.020490401746821e-04	-1.431511e+00	1.283142e+00
3.024675669603963e-04	-1.419629e+00	1.543399e+00
3.028860937461106e-04	-1.406693e+00	1.803040e+00
3.038626562461106e-04	-1.372124e+00	2.408027e+00
3.048392187461106e-04	-1.332539e+00	2.998556e+00
3.058157812461106e-04	-1.287937e+00	3.574626e+00
3.067923437461106e-04	-1.238320e+00	4.136237e+00
3.077689062461106e-04	-1.183687e+00	4.683389e+00
3.087454687461106e-04	-1.124037e+00	5.216082e+00
3.097220312461106e-04	-1.059372e+00	5.734317e+00
3.108381026746821e-04	-9.797153e-01	6.299878e+00
3.119541741032535e-04	-8.959911e-01	6.828513e+00
3.130702455318249e-04	-8.081992e-01	7.320222e+00
3.141863169603963e-04	-7.163397e-01	7.775004e+00
3.153023883889678e-04	-6.204125e-01	8.192861e+00
3.164184598175392e-04	-5.204177e-01	8.573791e+00
3.175345312461106e-04	-4.163553e-01	8.917795e+00
3.180925669603963e-04	-3.638198e-01	9.071127e+00
3.186506026746821e-04	-3.109208e-01	9.212915e+00
3.192086383889678e-04	-2.576584e-01	9.343159e+00
3.197666741032535e-04	-2.040324e-01	9.461858e+00
3.203247098175392e-04	-1.500430e-01	9.569013e+00
3.208827455318250e-04	-9.569008e-02	9.664624e+00
3.214407812461106e-04	-4.097367e-02	9.748690e+00
3.224173437461107e-04	5.475803e-02	9.866304e+00
3.230451339246821e-04	1.165789e-01	9.922391e+00
3.236729241032535e-04	1.780771e-01	9.962954e+00
3.243007142818250e-04	2.392525e-01	9.987995e+00
3.249285044603964e-04	3.001053e-01	9.997513e+00
3.255562946389678e-04	3.606354e-01	9.991509e+00
3.261840848175392e-04	4.208427e-01	9.969981e+00
3.268118749961107e-04	4.807274e-01	9.932931e+00
3.279977008889678e-04	5.929558e-01	9.817390e+00
3.291835267818250e-04	7.007928e-01	9.650531e+00
3.303693526746821e-04	8.042383e-01	9.432354e+00
3.315551785675392e-04	9.032925e-01	9.162860e+00
3.327410044603964e-04	9.979552e-01	8.842047e+00
3.339268303532535e-04	1.088226e+00	8.469916e+00
3.351126562461107e-04	1.174106e+00	8.046468e+00
3.362287276746821e-04	1.248710e+00	7.604497e+00
3.373447991032535e-04	1.316700e+00	7.131413e+00
3.384608705318250e-04	1.378076e+00	6.627214e+00
3.395769419603964e-04	1.432839e+00	6.091902e+00
3.406930133889678e-04	1.480988e+00	5.525477e+00
3.418090848175392e-04	1.522523e+00	4.927937e+00
3.429251562461107e-04	1.557444e+00	4.299284e+00
3.434831919603964e-04	1.571845e+00	3.979217e+00
3.440412276746821e-04	1.584344e+00	3.655268e+00
3.445992633889678e-04	1.594942e+00	3.327437e+00
3.451572991032535e-04	1.603638e+00	2.995724e+00
3.457153348175392e-04	1.610433e+00	2.660129e+00
3.462733705318250e-04	1.615326e+00	2.320653e+00
3.468314062461107e-04	1.618318e+00	1.977295e+00
3.487845312461107e-04	1.613511e+00	7.627798e-01
3.492030580318250e-04	1.609399e+00	4.999521e-01
3.496215848175392e-04	1.604218e+00	2.372327e-01
3.500401116032535e-04	1.597968e+00	-2.537856e-02
3.504586383889678e-04	1.590650e+00	-2.878816e-01
3.508771651746821e-04	1.582263e+00	-5.502763e-01
3.512956919603964e-04	1.572808e+00	-8.125628e-01
3.517142187461107e-04	1.562284e+00	-1.074741e+00
3.525512723175392e-04	1.537892e+00	-1.599278e+00
3.533883258889678e-04	1.509601e+00	-2.115885e+00
3.542253794603964e-04	1.477412e+00	-2.624563e+00
3.550624330318250e-04	1.441324e+00	-3.125311e+00
3.558994866032535e-04	1.401338e+00	-3.618130e+00
3.567365401746821e-04	1.357453e+00	-4.103019e+00
3.575735937461107e-04	1.309669e+00	-4.579979e+00
3.588291741032535e-04	1.230395e+00	-5.275305e+00
3.600847544603964e-04	1.145168e+00	-5.928436e+00
3.613403348175392e-04	1.053987e+00	-6.539371e+00
3.625959151746821e-04	9.568532e-01	-7.108111e+00
3.638514955318250e-04	8.537655e-01	-7.634655e+00
3.651070758889678e-04	7.447244e-01	-8.119004e+00
3.663626562461107e-04	6.297299e-01	-8.561157e+00
3.671299553532535e-04	5.581298e-01	-8.801117e+00
3.678972544603964e-04	4.857508e-01	-9.019505e+00
3.686645535675392e-04	4.125930e-01	-9.216319e+00
3.694318526746821e-04	3.386564e-01	-9.391561e+00
3.701991517818250e-04	2.639409e-01	-9.545230e+00
3.709664508889678e-04	1.884466e-01	-9.677326e+00
3.717337499961107e-04	1.121735e-01	-9.787849e+00
3.720825223175392e-04	7.759143e-02	-9.830179e+00
3.724312946389678e-04	4.303192e-02	-9.867750e+00
3.727800669603964e-04	8.494962e-03	-9.900562e+00
3.731288392818250e-04	-2.601946e-02	-9.928616e+00
3.734776116032535e-04	-6.051134e-02	-9.951911e+00
3.738263839246821e-04	-9.498068e-02	-9.970446e+00
3.741751562461107e-04	-1.294275e-01	-9.984223e+00
3.749424553532535e-04	-2.052392e-01	-9.997316e+00
3.757097544603964e-04	-2.800608e-01	-9.987393e+00
3.764770535675392e-04	-3.538922e-01	-9.954453e+00
3.772443526746822e-04	-4.267333e-01	-9.898497e+00
3.780116517818250e-04	-4.985843e-01	-9.819524e+00
3.787789508889679e-04	-5.694451e-01	-9.717536e+00
3.795462499961107e-04	-6.393157e-01	-9.592531e+00
3.808715848175393e-04	-7.572193e-01	-9.317596e+00
3.821969196389679e-04	-8.678700e-01	-8.985030e+00
3.835222544603964e-04	-9.712677e-01	-8.594833e+00
3.848475892818250e-04	-1.067412e+00	-8.147004e+00
3.861729241032536e-04	-1.156304e+00	-7.641544e+00
3.874982589246822e-04	-1.237943e+00	-7.078453e+00
3.888235937461107e-04	-1.312329e+00	-6.457730e+00
3.897304017818250e-04	-1.357039e+00	-6.008648e+00
3.906372098175393e-04	-1.396964e+00	-5.543986e+00
3.915440178532536e-04	-1.432105e+00	-5.063742e+00
3.924508258889679e-04	-1.462461e+00	-4.567917e+00
3.933576339246822e-04	-1.488033e+00	-4.056511e+00
3.942644419603964e-04	-1.508820e+00	-3.529525e+00
3.951712499961107e-04	-1.524822e+00	-2.986957e+00
3.955200223175393e-04	-1.529550e+00	-2.776919e+00
3.958687946389679e-04	-1.533526e+00	-2.565802e+00
3.962175669603964e-04	-1.536749e+00	-2.353607e+00
3.965663392818250e-04	-1.539220e+00	-2.140334e+00
