w,G1,P1,G2,P2,G,P
1.289890261253307990e+01,3.988033361606170502e+00,4.433044079391738279e+00,1.225399819034952653e+00,-5.221501892437105852e+01,4.886935359617554653e+00,-4.778197484497930958e+01
1.350993521198026492e+01,3.989087020574237474e+00,4.233290682421932516e+00,1.189889591354636345e+00,-5.349130319153222501e+01,4.746573124789163600e+00,-4.925801250911029427e+01
1.414991297434575834e+01,3.990048252332445422e+00,4.042475485838163074e+00,1.154277309426942955e+00,-5.475045851868311075e+01,4.605622161185970675e+00,-5.070798303284495034e+01
1.482020705798858629e+01,3.990925106171548720e+00,3.860206635714900969e+00,1.118665973656584933e+00,-5.599031811958189309e+01,4.464512119685904779e+00,-5.213011148386699034e+01
1.552225357427047925e+01,3.991724940229258944e+00,3.686108409313972878e+00,1.083155453120038691e+00,-5.720889375414422773e+01,4.323658636364582364e+00,-5.352278534483024686e+01
1.625755666443794922e+01,3.992454479174763371e+00,3.519820688435222333e+00,1.047841399010001950e+00,-5.840438634393511563e+01,4.183459086942233007e+00,-5.488456565549989108e+01
1.702769172225899652e+01,3.993119867361258013e+00,3.360998430976442020e+00,1.012814311118879429e+00,-5.957519288967541371e+01,4.044288947676603740e+00,-5.621419445869896236e+01
1.783430876931909381e+01,3.993726717753630417e+00,3.209311143961164348e+00,9.781587698698541722e-01,-6.071990983669178377e+01,3.906498813434263084e+00,-5.751059869273063896e+01
1.867913599020782911e+01,3.994280156926512504e+00,3.064442360762536399e+00,9.439528390629443599e-01,-6.183733313253447506e+01,3.770412094143563486e+00,-5.877289077177194088e+01
1.956398343517064831e+01,3.994784866414582858e+00,2.926089124788889606e+00,9.102676378163936377e-01,-6.292645529750113553e+01,3.636323383935879949e+00,-6.000036617271224060e+01
2.049074689815848060e+01,3.995245120682848761e+00,2.793961481494251053e+00,8.771670744473915038e-01,-6.398645988252261674e+01,3.504497474209589569e+00,-6.119249840102835236e+01
2.146141197858403515e+01,3.995664821969924674e+00,2.667781980228058014e+00,8.447077304323606928e-01,-6.501671372038958907e+01,3.375168963334637784e+00,-6.234893174016153239e+01
2.247805833548725118e+01,3.996047532242534839e+00,2.547285187136371754e+00,8.129388791890757027e-01,-6.601675738751416134e+01,3.248542402047517097e+00,-6.346947220037778692e+01
2.354286414322417897e+01,3.996396502484702573e+00,2.432217210066626389e+00,7.819026222096854273e-01,-6.698629428711726064e+01,3.124792904682404338e+00,-6.455407707705062137e+01
2.465811075822603726e+01,3.996714699530618642e+00,2.322335236203977971e+00,7.516341239510209160e-01,-6.792517874423189994e+01,3.004067151863863749e+00,-6.560284350802790243e+01
2.582618760682677461e+01,3.997004830636117223e+00,2.217407082975649590e+00,7.221619267114635088e-01,-6.883340347170879170e+01,2.886484709567204376e+00,-6.661599638873313722e+01
2.704959730463134449e+01,3.997269365970150812e+00,2.117210762595864715e+00,6.935083273186452013e-01,-6.971108672791092431e+01,2.772139591836020767e+00,-6.759387596531506404e+01
2.833096101839324277e+01,3.997510559194714208e+00,2.021534060484750484e+00,6.656897986364757047e-01,-7.055845944408110881e+01,2.661101999197514001e+00,-6.853692538359636899e+01
2.967302408188869478e+01,3.997730466289309614e+00,1.930174127676854257e+00,6.387174404965005881e-01,-7.137585255512135518e+01,2.553420171223189428e+00,-6.944567842744450559e+01
3.107866187782013867e+01,3.997930962764451479e+00,1.842937087235593685e+00,6.125974465069576880e-01,-7.216368472389163458e+01,2.449122299100606526e+00,-7.032074763665605133e+01
3.255088599835060137e+01,3.998113759397675882e+00,1.759637654607092205e+00,5.873315751561881681e-01,-7.292245060775556453e+01,2.348218451960665920e+00,-7.116281295314847455e+01
3.409285069746810848e+01,3.998280416615229704e+00,1.680098771777771560e+00,5.629176155944840554e-01,-7.365270977812606645e+01,2.250702478599166056e+00,-7.197261100634828779e+01
3.570785964900462517e+01,3.998432357633000755e+00,1.604151255043290591e+00,5.393498403658986140e-01,-7.435507636991489733e+01,2.156553853803202081e+00,-7.275092511487159186e+01
3.739937302478797676e+01,3.998570880461190136e+00,1.531633456150081285e+00,5.166194391095773053e-01,-7.503020950842177683e+01,2.065739445503749216e+00,-7.349857605227170154e+01
3.917101490809260866e+01,3.998697168868917462e+00,1.462390936533390473e+00,4.947149288209956586e-01,-7.567880453638501592e+01,1.978215185273703547e+00,-7.421641359985163433e+01
4.102658105827194390e+01,3.998812302397108276e+00,1.396276154346232756e+00,4.736225376374317286e-01,-7.630158504350259818e+01,1.893927630197099310e+00,-7.490530888915635899e+01
4.297004704320839608e+01,3.998917265500849361e+00,1.333148163950780285e+00,4.533265602834478103e-01,-7.689929568442902053e+01,1.812815408827590735e+00,-7.556614752047825334e+01
4.500557675700497384e+01,3.999012955895697718e+00,1.272872327526517244e+00,4.338096842861516866e-01,-7.747269575865811930e+01,1.734810547853342655e+00,-7.619982343113159118e+01
4.713753134116723942e+01,3.999100192176247681e+00,1.215320038437189387e+00,4.150532868589533741e-01,-7.802255351637519709e+01,1.659839679241023047e+00,-7.680723347793799860e+01
4.937047852839003781e+01,3.999179720769599378e+00,1.160368455990327785e+00,3.970377029734361574e-01,-7.854964114784098683e+01,1.587825130112309413e+00,-7.738927269185066393e+01
5.170920242896760755e+01,3.999252222281102220e+00,1.107900251218450149e+00,3.797424656114236075e-01,-7.905473040970423426e+01,1.518685899490990865e+00,-7.794683015848579544e+01
5.415871378079470588e+01,3.999318317284902502e+00,1.057803363309226086e+00,3.631465195336728291e-01,-7.953858883940716851e+01,1.452338527429277271e+00,-7.848078547609794953e+01
5.672426068491977702e+01,3.999378571607413946e+00,1.009970766312567658e+00,3.472284101379092269e-01,-8.000197650816377859e+01,1.388697862958864659e+00,-7.899200574185121582e+01
5.941133984965033932e+01,3.999433501147717784e+00,9.643002457553330187e-01,3.319664491259877726e-01,-8.044564326351377304e+01,1.327677737891524767e+00,-7.948134301775843369e+01
6.222570836730231036e+01,3.999483576275130403e+00,9.206941847987029082e-01,3.173388587749370049e-01,-8.087032641389137666e+01,1.269191553784253523e+00,-7.994963222909268552e+01
6.517339604882427295e+01,3.999529225840795288e+00,8.790593595791010850e-01,3.033238966247907009e-01,-8.127674880974808502e+01,1.213152789446762414e+00,-8.039768945016898272e+01
6.826071834272386241e+01,3.999570840836904839e+00,8.393067433804052291e-01,2.898999623705620365e-01,-8.166561727832423401e+01,1.159475436257016101e+00,-8.082631053494381490e+01
7.149428986597577307e+01,3.999608777734355858e+00,8.013513192929919704e-01,2.770456886876865310e-01,-8.203762137200897087e+01,1.108074368308730628e+00,-8.123627005271598023e+01
7.488103857590023438e+01,3.999643361526909580e+00,7.651119010236465678e-01,2.647400176390715121e-01,-8.239343239322506918e+01,1.058865654080629159e+00,-8.162832049220143915e+01
7.842822061337682271e+01,3.999674888507563697e+00,7.305109615293652325e-01,2.529622642151344025e-01,-8.273370266182055843e+01,1.011766815921288476e+00,-8.200319170029118254e+01
8.214343584919430441e+01,3.999703628800553190e+00,6.974744691574981115e-01,2.416921684520351998e-01,-8.305906499396289178e+01,9.666970432102798272e-01,-8.236159052480539344e+01
8.603464416684499838e+01,3.999729828670430365e+00,6.659317309843413302e-01,2.309099374624913326e-01,-8.337013236445451980e+01,9.235773646051502750e-01,-8.270420063347017958e+01
9.011018251665018397e+01,3.999753712627760471e+00,6.358152430541282873e-01,2.205962786018109689e-01,-8.366749772717889755e+01,8.823307843294608821e-01,-8.303168248412477226e+01
9.437878277775381264e+01,3.999775485349273296e+00,6.070605472302988970e-01,2.107324248818811530e-01,-8.395173397101591206e+01,8.428823870107553518e-01,-8.334467342378562194e+01
9.884959046625586154e+01,3.999795333428802557e+00,5.796060943808379884e-01,2.013001536397751867e-01,-8.422339399101826984e+01,8.051594151468737248e-01,-8.364378789663741998e+01
1.035321843295662632e+02,3.999813426973846564e+00,5.533931136293823716e-01,1.922817993668404779e-01,-8.448301085690665957e+01,7.690913228701797832e-01,-8.392961774327729074e+01
1.084365968689610895e+02,3.999829921061345939e+00,5.283654874135614854e-01,1.836602615094517776e-01,-8.473109806302066715e+01,7.346098092954566061e-01,-8.420273257560710078e+01
1.135733358343105124e+02,3.999844957065060047e+00,5.044696321016931551e-01,1.754190079646162637e-01,-8.496814984575554774e+01,7.016488343806258632e-01,-8.446368021365385914e+01
1.189534067370319548e+02,3.999858663865838437e+00,4.816543839284215256e-01,1.675420749125007547e-01,-8.519464155623188617e+01,6.701446199008254112e-01,-8.471298717230345687e+01
1.245883364295008136e+02,3.999871158955097705e+00,4.598708900191765259e-01,1.600140635537385669e-01,-8.541103007748941423e+01,6.400356378358070808e-01,-8.495115918747025319e+01
1.304901978014403028e+02,3.999882549440926471e+00,4.390725042823669377e-01,1.528201342518762107e-01,-8.561775427688495199e+01,6.112625881972992836e-01,-8.517868177260257312e+01
1.366716356462007411e+02,3.999892932965360970e+00,4.192146879570664009e-01,1.459459985203014065e-01,-8.581523548561176540e+01,5.837683680759268023e-01,-8.539602079765469966e+01
1.431458937523478596e+02,3.999902398540709836e+00,4.002549146125125579e-01,1.393779092380679208e-01,-8.600387799836143188e+01,5.574980334649374258e-01,-8.560362308374894269e+01
1.499268432786045651e+02,3.999911027312017531e+00,3.821525794040613877e-01,1.331026494298236107e-01,-8.618406958712637334e+01,5.323987552187972039e-01,-8.580191700772232366e+01
1.570290124729377510e+02,3.999918893252213614e+00,3.648689123983085980e-01,1.271075199011308110e-01,-8.635618202400581822e+01,5.084197703269649482e-01,-8.599131311160749647e+01
1.644676177994664386e+02,3.999926063795867570e+00,3.483668957878672257e-01,1.213803259813995700e-01,-8.652057160864012531e+01,4.855123295250388105e-01,-8.617220471285224903e+01
1.722585965398787380e+02,3.999932600416967077e+00,3.326111848238388902e-01,1.159093635920324661e-01,-8.667757969656750561e+01,4.636296421253540134e-01,-8.634496851174367293e+01
